CIF,Fname,Lname,Mobile,Email,NationalID,Gender,BirthYear,Address,District,CardNumber,GroupID
KMHGH4JH5EU566699,Courtney,Lathleiffure,9908069687,clathleiffure10@comcast.net,0254895247,f,1994,"945 Brentwood Terrace",TX,3580427768607370,G06
SCBGU3ZA1FC112946,Kaspar,Meneghi,3666847573,kmeneghif@sakura.ne.jp,0637676475,m,1994,"3 Caliangt Hill",NY,4913237337052740,G02
TRUTC28N721889141,Neill,Evershed,7425617159,nevershed14@bloglovin.com,6472212058,m,1994,"4749 Sheridan Pass",MI,4844362807443460,G07
WA1AY74L99D315003,Iver,Tibalt,1334285055,itibalt1@bandcamp.com,2948983045,m,1995,"70 Scott Trail",ME,3533121302547450,G01
WAU3FAFR6BA759155,Rouvin,Rowney,2637652485,rrowneyp@ox.ac.uk,7702249048,m,1983,"173 Commercial Hill",AR,5610782945140560000,NULL
WAUAT48H93K926383,NULL,Navan,1142213599,bnavanm@google.com.au,2029999601,m,1986,"91 Lotheville Trail",MA,4175000748754350,G03
WAUDF78E08A553436,Laverna,Chase,2761293764,lchase2@amazon.de,5527357477,f,1970,"85 Sutherland Hill",CA,3564948717795770,G01
WAUDL94F16N445304,Jephthah,Marchbank,5001724192,jmarchbanki@i2i.jp,8063374932,m,1987,"5959 Lillian Circle",NV,201888341855042,NULL
WAUHF98P49A304069,Demetrius,Alflat,9405265922,dalflatd@washingtonpost.com,0093327595,m,NULL,"79 Vermont Plaza",CO,6759258179518620,NULL
WAUKH68D11A680768,NULL,NULL,7766066317,fcrackerr@soundcloud.com,3999744103,f,NULL,"136 Ridge Oak Hill",TN,3545106882081130,G04
WAUSG78E96A847323,NULL,Ommanney,9795802118,aommanneyo@wikia.com,0438640209,m,1991,"2 Dapin Pass",CA,4508428956233530,NULL
WAUXU54B13N352438,Alexa,Slyne,7124901867,aslynel@angelfire.com,6985506860,f,1994,"633 Springview Center",PA,3548575792505400,G03
WBABN53441J161398,Brendin,Tummond,3465999843,btummond15@telegraph.co.uk,9290664657,m,1990,"5407 Main Trail",PA,3581840801910480,G08
WBADN63492G962146,Hilton,Shedden,3844947850,hsheddenb@pen.io,9419480968,m,1989,"30197 Straubel Street",NC,4017955425878700,NULL
WBAUN13519V604055,Dione,Ockleshaw,2675900810,dockleshaww@merriam-webster.com,9183896201,f,1965,"20764 Express Street",OH,201662711832588,NULL
WBSWD93519P749820,Kizzie,Bethune,9574854298,kbethunez@t.co,5318726720,f,1991,"86 Mifflin Avenue",CA,6706185963151980,G06
WVWED7AJ3DW318384,Alyson,Kinge,7397619453,akinge1d@jimdo.com,6320089482,f,1969,"4995 Vermont Way",NY,4041599514166240,G10
WVWGU7AN9CE598568,Howie,Vatini,9948109927,hvatini4@tamu.edu,1369386125,m,1979,"66 1st Street",FL,5221155268098400,NULL
